Timestamp,Value
2024-04-09 00:53:31.984860,339
2024-04-09 00:54:02.683781,340
2024-04-09 00:54:59.731773,340
2024-04-09 00:55:33.062864,339
2024-04-09 00:56:03.918559,338
2024-04-09 00:56:34.809860,339
2024-04-09 00:57:05.494559,338
2024-04-09 00:57:36.202509,338
2024-04-09 00:58:06.987620,340
2024-04-09 00:58:37.802595,339
2024-04-09 01:05:14.367858,340
2024-04-09 01:05:45.063806,338
2024-04-09 01:06:15.828205,338
2024-04-09 01:06:46.601395,339
2024-04-09 13:49:50.898032,590
2024-04-09 13:50:21.631457,595
2024-04-09 13:50:52.350556,594
2024-04-09 13:51:23.041282,596
2024-04-09 13:51:53.712187,595
2024-04-09 13:52:24.415952,596
2024-04-09 13:52:55.106279,593
2024-04-09 13:53:25.786353,595
2024-04-09 13:53:56.465660,596
2024-04-09 13:54:27.144570,591
2024-04-09 13:54:57.844951,596
2024-04-09 13:55:28.529992,593
2024-04-09 13:55:59.208221,593
2024-04-09 13:56:29.894225,593
2024-04-09 13:57:00.561592,596
2024-04-09 13:57:31.226020,593
2024-04-09 13:58:01.923986,593
2024-04-09 13:58:32.709309,591
2024-04-09 13:59:03.400167,591
2024-04-09 13:59:34.084716,592
2024-04-09 14:00:04.769729,595
2024-04-09 14:00:35.457717,360
2024-04-09 14:01:06.134324,547
2024-04-09 14:01:39.886864,549
2024-04-09 14:02:10.568112,549
2024-04-09 14:02:41.389036,546
2024-04-09 14:03:12.080329,551
2024-04-09 14:03:42.766201,546
2024-04-09 14:04:13.454080,553
2024-04-09 14:04:44.137771,549
2024-04-09 14:05:14.820213,554
2024-04-09 14:05:45.523619,550
2024-04-09 14:06:16.212204,551
2024-04-09 14:06:46.896060,556
2024-04-09 14:07:17.585482,548
2024-04-09 14:07:48.266894,551
2024-04-09 14:08:18.971985,548
2024-04-09 14:08:49.662478,550
2024-04-09 14:09:20.347544,547
2024-04-09 14:09:51.026897,554
2024-04-09 14:10:21.693497,556
2024-04-09 14:10:52.368450,550
2024-04-09 14:11:23.035332,556
2024-04-09 14:11:53.702848,554
2024-04-09 14:12:24.380375,556
2024-04-09 14:12:55.063303,554
